59149,72072,58720
94054,76174,32764
53029,58900,39347
81010,27179,18191
21491,87245,2272
32331,32513,94668
9845,86111,52729
3900,81543,813
14879,8206,77772
1776,79615,70786
99185,47744,62557
15606,75644,56180
97523,31215,53964
27340,15669,26890
51796,65928,96765
98097,24007,73627
2693,45993,9242
78536,37898,97195
17124,32639,33639
5959,55642,38890
16346,12936,28664
22473,72681,31649
95498,82507,49476
35541,38701,11092
43540,1827,38802
45529,19760,11467
81633,90150,4253
12239,96955,58835
98765,80457,38160
14621,51851,99259
98986,24234,58477
42047,32114,72628
82046,69676,88919
54370,48775,31871
62789,47655,34177
96351,58603,94819
82918,3941,67160
36159,97490,81810
29398,36746,26487
8831,85786,87639
41243,62168,20820
71625,29459,29725
1218,41335,58171
22399,34576,35666
75990,88367,28357
43976,78537,20561
38386,40914,51913
61166,62513,46392
20280,73401,55548
92458,46133,52075
32761,93295,89706
38686,53447,46725
8798,53322,65754
40164,36723,40592
77002,74518,86494
87675,38278,53936
98771,23721,91529
54326,42727,66639
85594,80066,38454
88514,83564,36295
50519,17838,37037
87536,91227,56313
17912,85395,13247
31807,70316,35513
91626,35802,64500
33457,29644,53513
11660,40617,39137
14269,89590,44082
69450,97143,60172
62140,98136,76863
52481,21885,67233
94058,81678,64050
267,64991,61022
78079,73701,93269
99866,57249,32124
20959,17124,98111
26163,21403,10672
73317,46357,30202
26874,43860,12780
74834,59595,71838
30034,64680,58984
62878,8875,60527
51089,37418,606
51436,9957,70197
57800,24074,4122
79624,76789,38859
74743,14422,53728
3539,28691,9351
89435,9855,27572
39141,59212,25949
74337,28450,55675
95897,89255,3156
56488,19570,93582
36039,38633,78862
94447,28552,88221
49643,70752,24450
54496,28561,75183
4364,90759,97805
89781,10597,68926
13071,45489,85375
60954,96172,53373
24388,45601,36233
5911,90566,26212
95881,20271,54822
71091,2101,86539
23756,6693,96892
97427,36537,82336
79653,12444,10190
68414,90924,9502
44822,65654,42762
6344,67166,66523
72637,69375,55510
79519,90158,40000
4177,69114,55502
90285,17636,77275
8102,7937,78670
33695,88297,12676
81409,70499,24427
24992,17188,80779
5750,67037,21772
78889,16862,42643
48467,72059,62560
57746,98715,58397
80763,38099,85031
54245,93927,32326
99530,85681,31835
54909,32864,73875
17608,95580,15275
4090,17925,64143
4952,3276,42700
38666,14018,3976
40665,71143,63798
43339,78527,79471
86798,18520,42504
14466,20438,84888
43364,52537,58723
65113,97573,90799
73081,17157,57195
44297,77261,51917
55895,92507,77170
69254,65335,42545
12577,99407,29562
62882,472,58484
80413,57810,30571
97495,76846,58291
31763,98010,49121
78713,28348,30238
35573,56089,79735
85563,47048,43407
53929,52222,80626
62524,19932,54806
80070,44831,67299
93371,32159,55792
21841,21390,23949
38803,38249,2214
20805,46010,15739
96921,65151,90830
17975,11596,24141
46054,39405,75733
15405,80091,66036
25364,24679,25072
38542,21770,60032
77129,62014,79723
3799,59893,81559
95838,65915,25618
82109,28758,78356
8706,89297,67133
18723,87909,74889
40066,7095,5994
73354,47143,81025
59139,27574,63464
42501,18150,22860
68941,63051,15266
74445,53437,80455
5061,78857,10328
75999,36716,62405
84275,64766,4584
87907,25425,94233
41201,55143,95782
36612,94037,32072
6038,87107,66779
27073,46991,79938
85651,91149,41489
93804,69391,70893
35493,3036,81371
4836,83598,5270
37852,18554,60791
13783,46526,67437
52104,86176,83706
54366,71502,91468
61536,5817,35056
16842,33343,81167
38312,31638,76200
62444,48574,60090
